LocationName,Duration,DurationDays,Date,Mean,StdDev,Skew
Waterloo,1-Day,1.0,2000-05-11,3.7162354600576832,0.2775362941212438,-0.23198806535487432
Waterloo,1-Day,1.0,2000-05-12,3.708406809253505,0.27968732599577056,-0.24513497509513107
Waterloo,1-Day,1.0,2000-05-13,3.7005649272564027,0.28186587271182967,-0.25782798489148245
Waterloo,1-Day,1.0,2000-05-14,3.6927098523858177,0.28407290751512826,-0.270037597170179
Waterloo,1-Day,1.0,2000-05-15,3.6848419971047432,0.2863082833210552,-0.2817612538748117
Waterloo,5-Day,5.0,2000-01-01,4.214387412481375,0.1765283807385945,-0.11205879889046522
Waterloo,5-Day,5.0,2000-01-02,4.210806923434115,0.17658322730908488,-0.09834035933535594
Waterloo,5-Day,5.0,2000-01-03,4.207205350650316,0.1766334567413618,-0.08450986934454102
Waterloo,5-Day,5.0,2000-01-04,4.2035829486565985,0.17668333761980648,-0.07061820675670415
Waterloo,5-Day,5.0,2000-01-05,4.1999407650077165,0.1767354874034546,-0.05670058627226694
Waterloo,5-Day,5.0,2000-01-06,4.196280683883978,0.17679038282690562,-0.04277032637481171
Waterloo,5-Day,5.0,2000-01-07,4.192605305386899,0.176847313655587,-0.02882927306758901
Waterloo,5-Day,5.0,2000-01-08,4.188917548376906,0.17690475260534005,-0.014870352412660853
Waterloo,5-Day,5.0,2000-01-09,4.185220146800325,0.17696321089742506,-0.0009102966316806122
Waterloo,5-Day,5.0,2000-01-10,4.181515537788058,0.17702408748019494,0.013024334476843374
Waterloo,5-Day,5.0,2000-01-11,4.177806008314655,0.17708694086790294,0.02693004501014146
Waterloo,5-Day,5.0,2000-01-12,4.174093701482429,0.17714934131251006,0.040828777227135814
Waterloo,5-Day,5.0,2000-01-13,4.1703803915286635,0.1774286947131191,0.052
Waterloo,5-Day,5.0,2000-01-14,4.166667377394005,0.17860203968716434,0.052
Waterloo,5-Day,5.0,2000-01-15,4.162955174581816,0.17977512827620604,0.052
Waterloo,5-Day,5.0,2000-01-16,4.159242794395523,0.18094827291701762,0.052
Waterloo,5-Day,5.0,2000-01-17,4.155526210864965,0.18212274585141736,0.052
Waterloo,5-Day,5.0,2000-01-18,4.151794656940774,0.18330194956127088,0.052
Waterloo,5-Day,5.0,2000-01-19,4.148021838904973,0.18449419309166135,0.052
Waterloo,5-Day,5.0,2000-01-20,4.144150752096211,0.18571749041465185,0.052
Waterloo,5-Day,5.0,2000-01-21,4.139959559234809,0.18704194405281002,0.052
Waterloo,5-Day,5.0,2000-01-22,4.135683498932493,0.18839321654531246,0.052
Waterloo,5-Day,5.0,2000-01-23,4.131339063899342,0.18976609605138028,0.052
Waterloo,5-Day,5.0,2000-01-24,4.126945641245107,0.1911544560745986,0.052
Waterloo,5-Day,5.0,2000-01-25,4.122524846298086,0.1925514659819817,0.052
Waterloo,5-Day,5.0,2000-01-26,4.1180980683353825,0.19395036657498949,0.052
Waterloo,5-Day,5.0,2000-01-27,4.113682323185763,0.19534578070177996,0.052
Waterloo,5-Day,5.0,2000-01-28,4.109288657655542,0.19673421747604242,0.052
Waterloo,5-Day,5.0,2000-01-29,4.104926226575286,0.19811278389056,0.052
Waterloo,5-Day,5.0,2000-01-30,4.100605409138158,0.1994782000295234,0.052
Waterloo,5-Day,5.0,2000-01-31,4.096335265332908,0.2001015118595155,0.06002650510221854
Waterloo,5-Day,5.0,2000-02-01,4.0921205072753795,0.20060175291585775,0.06917202098999131
Waterloo,5-Day,5.0,2000-02-02,4.08796069187912,0.2011210428668266,0.07786445987365409
Waterloo,5-Day,5.0,2000-02-03,4.083849937859188,0.20162812606092104,0.08647355818969113
Waterloo,5-Day,5.0,2000-02-04,4.07977986768909,0.20208517007931995,0.09545178271341273
Waterloo,5-Day,5.0,2000-02-05,4.075740811257426,0.20245797800994117,0.10521753387297429
Waterloo,5-Day,5.0,2000-02-06,4.071721268004788,0.20273513077825295,0.11594473017781531
Waterloo,5-Day,5.0,2000-02-07,4.067709629929191,0.20293548279066004,0.12747125981282395
Waterloo,5-Day,5.0,2000-02-08,4.0636962537141255,0.20309967356589892,0.13938163300203385
Waterloo,5-Day,5.0,2000-02-09,4.059677305562929,0.2032638464162802,0.15128507230204088
Waterloo,5-Day,5.0,2000-02-10,4.055655535631257,0.2034426701255437,0.1438750570063207
Waterloo,5-Day,5.0,2000-02-11,4.051639404888144,0.20362667191377565,0.1330901721666249
Waterloo,5-Day,5.0,2000-02-12,4.047637407016253,0.20379304307094098,0.12196543664817638
Waterloo,5-Day,5.0,2000-02-13,4.043656117836842,0.20391834909778894,0.11026566814963958
Waterloo,5-Day,5.0,2000-02-14,4.0396999908983435,0.20397406910877686,0.09825977673668103
Waterloo,5-Day,5.0,2000-02-15,4.0357692554435625,0.20392408242460908,0.08645319846777297
Waterloo,5-Day,5.0,2000-02-16,4.031862673025315,0.20363701098062378,0.0823111576033831
Waterloo,5-Day,5.0,2000-02-17,4.027980652138245,0.2032957677894247,0.07311721353409019
Waterloo,5-Day,5.0,2000-02-18,4.024127723070748,0.20281959148316664,0.06469384745672344
Waterloo,5-Day,5.0,2000-02-19,4.020312283181569,0.20222447362028972,0.05760851993404155
Waterloo,5-Day,5.0,2000-02-20,4.016545192667165,0.2015443317442174,0.05236788459276919
Waterloo,5-Day,5.0,2000-02-21,4.012835257219599,0.2008011908440025,0.04895004426833524
Waterloo,5-Day,5.0,2000-02-22,4.009189325889693,0.19999854614682197,0.047448140124667866
Waterloo,5-Day,5.0,2000-02-23,4.005612003507839,0.19914542623097814,0.04787957138173802
Waterloo,5-Day,5.0,2000-02-24,4.002105904139832,0.19826551917141666,0.05016587998413591
Waterloo,5-Day,5.0,2000-02-25,3.9986715354813858,0.19738172251273142,0.0541887715516359
Waterloo,5-Day,5.0,2000-02-26,3.99530705014407,0.1965135846082238,0.05974729525998426
Waterloo,5-Day,5.0,2000-02-27,3.9920071830985404,0.195675173125304,0.0665870272448023
Waterloo,5-Day,5.0,2000-02-28,3.9887623544241486,0.1948551561534404,0.07396723367226327
Waterloo,5-Day,5.0,2000-03-01,3.9824086882652567,0.19316634923766537,0.08728187006952644
Waterloo,5-Day,5.0,2000-03-02,3.9792886128135523,0.1922733004860915,0.09239539561010061
Waterloo,5-Day,5.0,2000-03-03,3.9761971633216815,0.19136756112992329,0.0965632496722027
Waterloo,5-Day,5.0,2000-03-04,3.973131801849156,0.19048684082394624,0.10035909499305173
Waterloo,5-Day,5.0,2000-03-05,3.970095783836212,0.1896787545807585,0.10462547196050755
Waterloo,5-Day,5.0,2000-03-06,3.967097123362689,0.18899807052565534,0.1103813032625845
Waterloo,5-Day,5.0,2000-03-07,3.964148563262738,0.18848464590296846,0.11841862314258284
Waterloo,5-Day,5.0,2000-03-08,3.9612628476493166,0.1881434319202175,0.12896346608270765
Waterloo,5-Day,5.0,2000-03-09,3.9584440018733393,0.1879470580828859,0.1417163865808818
Waterloo,5-Day,5.0,2000-03-10,3.955684073656591,0.1878462403733603,0.15316307581781508
Waterloo,5-Day,5.0,2000-03-11,3.952964099347812,0.18778179011847057,0.1640204704422023
Waterloo,5-Day,5.0,2000-03-12,3.9502586471047803,0.18769994522406602,0.17504134097291593
Waterloo,5-Day,5.0,2000-03-13,3.947539108576024,0.18756291541527081,0.18680443260082932
Waterloo,5-Day,5.0,2000-03-14,3.944775385121684,0.18744560484380918,0.1984962652300247
Waterloo,5-Day,5.0,2000-03-15,3.9419401453243976,0.18720405179946542,0.2120235907288066
Waterloo,5-Day,5.0,2000-03-16,3.939009040491257,0.18690636076580383,0.21847712020295054
Waterloo,5-Day,5.0,2000-03-17,3.935960971638208,0.18659992563276181,0.22196264120043552
Waterloo,5-Day,5.0,2000-03-18,3.93277910882565,0.1863429109806219,0.22380583988540376
Waterloo,5-Day,5.0,2000-03-19,3.929449155001587,0.18617725558140907,0.22488912689413962
Waterloo,5-Day,5.0,2000-03-20,3.9259584026286514,0.18611515718704869,0.22621690369450947
Waterloo,5-Day,5.0,2000-03-21,3.9222965537332146,0.1861450260827478,0.22829641235807674
Waterloo,5-Day,5.0,2000-03-22,3.9184669615671006,0.18624691427462853,0.23090216785008216
Waterloo,5-Day,5.0,2000-03-23,3.914484351689994,0.18636802294599125,0.2328458407629309
Waterloo,5-Day,5.0,2000-03-24,3.9103655422883232,0.18643034425334823,0.23259576845123078
Waterloo,5-Day,5.0,2000-03-25,3.906127253230499,0.18636937974898846,0.2293712191115733
Waterloo,5-Day,5.0,2000-03-26,3.901788461623291,0.18617101317496743,0.223637674925269
Waterloo,5-Day,5.0,2000-03-27,3.89737152869483,0.18587570948091825,0.21656930176402645
Waterloo,5-Day,5.0,2000-03-28,3.892896575689745,0.185563684156641,0.20979872123919682
Waterloo,5-Day,5.0,2000-03-29,3.888376379956837,0.18532381796875305,0.20477911772631757
Waterloo,5-Day,5.0,2000-03-30,3.883811312111986,0.18522164940270575,0.20211844215487032
Waterloo,5-Day,5.0,2000-03-31,3.8791903183663496,0.18526935213277282,0.20161078514995412
Waterloo,5-Day,5.0,2000-04-01,3.8745002042230703,0.18544880393425597,0.2027985222840159
Waterloo,5-Day,5.0,2000-04-02,3.869730570648997,0.18573032828879849,0.20524924219690335
Waterloo,5-Day,5.0,2000-04-03,3.864871153877338,0.1860769407636507,0.20846324464737762
Waterloo,5-Day,5.0,2000-04-04,3.859908937061836,0.1864489462636389,0.21222162501587444
Waterloo,5-Day,5.0,2000-04-05,3.8548319045920794,0.18679006052634983,0.21630984530800662
Waterloo,5-Day,5.0,2000-04-06,3.84963422828821,0.1870850012434596,0.22040956689122979
Waterloo,5-Day,5.0,2000-04-07,3.8443199633648746,0.18741572467068954,0.22400279181589233
Waterloo,5-Day,5.0,2000-04-08,3.838896674074376,0.1879346833300186,0.22644945157211394
